Key,az,bg,en,hy,ka,pl,ro,ru,sr
about_app.version,Vote Monitor versiyası {{value}},Версия на Vote Monitor {{value}},Vote Monitor version {{value}},Vote Monitor տարբերակ {{value}},Vote Monitor ვერსია {{value}},Wersja Vote Monitor {{value}},Vote Monitor versiunea {{value}},Версия Vote Monitor {{value}},Vote Monitor verzija {{value}}
about_app_citizen.title,Vote Monitor haqqında,За Vote Monitor,About Vote Monitor,Vote Monitor-ի մասին,Vote Monitor-ის შესახებ,Informacje o Vote Monitor ,Despre Vote Monitor,О Vote Monitor,Više o Vote Monitor
about_app_citizen.title_observer,Vote Monitor Citizen haqqında,За Vote Monitor за граждани,About Vote Monitor Citizen,Vote Monitor քաղաքացու մասին,Vote Monitor მოქალაქის შესახებ,Informacje o Vote Monitor Citizen,Despre Vote Monitor pentru Cetățeni,О гражданине Vote Monitor,O građaninu za praćenje glasova
about_app_citizen.p1,"Vote Monitor Citizen gündəlik vətəndaşlara seçki dövründə rastlaşdıqları hər hansı pozuntular, o cümlədən təşviqat fəaliyyəti, seçki məntəqələrinin fəaliyyəti və səsvermə günü prosedurları barədə məlumat verməklə seçkilərin monitorinqində fəal iştirak etməyə imkan verir.","Vote Monitor за граждани дава възможност на гражданите да участват активно в наблюдението на изборите, като съобщават за нередности, на които са били свидетели по време на изборния период, включително за дейности по време на кампанията, работата на секционните комисии и процедурите в деня на гласуването.","Vote Monitor Citizen enables everyday citizens to actively participate in monitoring elections by reporting any irregularities they encounter during the electoral period, including campaign activities, polling station operations, and voting day procedures.","Vote Monitor Citizen-ը քաղաքացիներին հնարավորություն է տալիս ակտիվորեն մասնակցել ընտրությունների մշտադիտարկմանը՝ արձանագրելով ընտրական շրջանում իրենց հանդիպած խախտումները, այդ թվում՝  քարոզարշավի ակտիվությունների, ընտրատեղամասերի աշխատանքի և քվեարկության օրվա ընթացակարգերը:","Vote Monitor მოქალაქე საშუალებას აძლევს მოქალაქეებს აქტიურად მიიღონ მონაწილეობა არჩევნების მონიტორინგში, აღრიცხონ ის დარღვევები, რომლებსაც ისინი საარჩევნო პერიოდში აწყდებიან, მათ შორის, კამპანიის აქტივობების, საარჩევნო უბნების ფუნქციონირებისა და ხმის მიცემის დღის პროცედურების შესახებ.","Vote Monitor Citizen umożliwia zwykłym obywatelom aktywny udział w monitorowaniu wyborów poprzez zgłaszanie wszelkich nieprawidłowości, które napotkają w okresie wyborczym, w tym działań związanych z kampanią, działaniami w lokalach wyborczych i procedurami w dniu głosowania.",Vote Monitor pentru Cetățeni permite cetățenilor să acționeze activ în monitorizarea alegerilor prin trimiterea de sesizări în timp real despre orice nereguli pe care le observă în timpul perioadei de campanie electorală sau în ziua alegerilor.,"Vote Monitor Citizen позволяет обычным гражданам активно участвовать в наблюдении за выборами, сообщая о любых нарушениях, с которыми они сталкиваются во время избирательного периода, включая кампанию, работу избирательных участков и процедуры в день голосования.","Građani koji prate izbore omogućavaju svakodnevnim građanima da aktivno učestvuju u praćenju izbora izveštavajući o svim nepravilnostima sa kojima se susretnu tokom izbornog perioda, uključujući aktivnosti kampanje, rad biračkih mesta i procedure za dan izbora."
about_app_citizen.p2,Vote Monitor Citizen ilkin olaraq Code for Romania/Commit Global tərəfindən seçkilərin monitorinqi səylərində QHT-lərlə birlikdə işləyən müstəqil müşahidəçilər üçün hazırlanmış Səs Monitoru proqramının əlavəsidir.,"Vote Monitor за граждани е разширение на приложението Vote Monitor, което първоначално беше разработено от Code for Romania/Commit Global за независими наблюдатели, работещи заедно с НПО в областта на наблюдението на избори.","Vote Monitor Citizen is an extension of the Vote Monitor app, which was initially developed by Code for Romania/Commit Global for independent observers working alongside NGOs in election monitoring efforts.","Vote Monitor Citizen-ը Vote Monitor հավելվածի շարունակությունն է, որն ի սկզբանե ստեղծվել էր Code for Romania/Commit Global-ի կողմից անկախ դիտորդների համար, ովքեր հասարակական կազմակերպությունների հետ  աշխատում են ընտրությունների մշտադիտարկման վրա:  ","Vote Monitor Citizen არის Vote Monitor აპლიკაციის გაგრძელება, რომელიც თავდაპირველად შეიქმნა Code for Romania/Commit Global-ის მიერ დამოუკიდებელი დამკვირვებლებისთვის, რომლებიც არასამთავრობო ორგანიზაციებთან ერთად მუშაობენ არჩევნების მონიტორინგზე.","Vote Monitor Citizen to rozszerzenie aplikacji Vote Monitor, która została początkowo opracowana przez Code for Romania/Commit Global dla niezależnych obserwatorów współpracujących z organizacjami pozarządowymi w zakresie monitorowania wyborów.","Vote Monitor pentru Cetățeni este o extensie a aplicației Vote Monitor, dezvoltată inițial de Code for Romania/Commit Global pentru observatorii independenți care sunt implicați alături de ONG-uri în monitorizarea proceselor electorale.","Vote Monitor Citizen - это расширение приложения Vote Monitor, которое было первоначально разработано Code for Romania/Commit Global для независимых наблюдателей, работающих вместе с НПО в рамках мониторинга выборов.","Građanin za praćenje glasova je produženje aplikacije za praćenje glasova, koja je prvobitno razvijena kodom za Rumuniju / Kommit Global za nezavisne posmatrače koji rade zajedno sa nevladinim organizacijama u naporima za praćenje izbora."
about_app_citizen.p3,İstifadəçilər real vaxt rejimində seçki prosesində iştirak edən qeyri-hökumət təşkilatları tərəfindən təhlil ediləcək hesabatlar təqdim edə bilərlər. Bu hesabatlar təfərrüatlı müşahidə sənədlərinə töhfə verə bilər və bəzi hallarda gələcək seçkiləri təkmilləşdirmək üçün müvafiq qurumlara göndərilə bilər.,"Потребителите могат да изпращат доклади в реално време, които ще бъдат анализирани от неправителствени организации, участващи в изборния процес. Тези доклади могат да допринесат за изготвянето на подробни документи за наблюдение, а в някои случаи могат да бъдат предадени на съответните институции с цел подобряване на бъдещи избори.","Users can submit real-time reports that will be analysed by non-governmental organizations involved in the electoral process. These reports may contribute to detailed observation documents and, in some instances, could be forwarded to relevant institutions to improve future elections.","Օգտատերերը իրական ժամանակում կարող են ուղարկել զեկույցներ, որոնք կվերլուծվեն ընտրական գործընթացում ներգրավված հասարակական կազմակերպությունների կողմից: Ձեր ուղարկած զեկույցները կարող են մեծապես նպաստել վերջնական դիտորդական փաստաթղթի ձևավորմանը, իսկ որոշ դեպքերում փոխանցվել համապատասխան կառույցներին՝ ապագա ընտրությունները բարելավելու նպատակով:","მომხმარებლებს შეუძლიათ რეალურ დროში გამოგზანონ ანგარიშები, რომლებსაც საარჩევნო პროცესში ჩართული არასამთავრობო ორგანიზაციები გააანალიზებენ. თქვენს მიერ გაგზავნილმა ანგარიშებმა, შესაძლოა დიდი წვლილი შეიტანონ საბოლოო სადამკვირვებლო დოკუმენტის ფორმირებაში და ზოგიერთ შემთხვევაში, შესაძლოა ისინი გადაეგზავნოს შესაბამის ინსტიტუტებს მომავალი არჩევნების გასაუმჯობესებლად.","Użytkownicy mogą przesyłać raporty w czasie rzeczywistym, które będą analizowane przez organizacje pozarządowe zaangażowane w proces wyborczy. Raporty te mogą przyczynić się do powstania szczegółowych dokumentów obserwacyjnych, a w niektórych przypadkach mogą zostać przekazane odpowiednim instytucjom w celu usprawnienia przyszłych wyborów.","Utilizatorii pot trimite sesizări în timp real ce vor fi analizate de către ONG-uri implicate în monitorizarea proceselor electorale. Aceste sesizări pot contribui la crearea de documente de observare detaliate și, în unele cazuri, pot fi transmise instituțiilor responsabile de organizarea alegerilor pentru a îmbunătăți procesele electorale viitoare.","Пользователи могут отправлять отчеты в режиме реального времени, которые будут анализироваться неправительственными организациями, участвующими в избирательном процессе. Эти отчеты могут стать частью подробных документов по наблюдению и, в некоторых случаях, могут быть направлены в соответствующие учреждения для улучшения будущих выборов.","Korisnici mogu da podnesu izveštaje u realnom vremenu koje će analizirati nevladine organizacije uključene u izborni proces. Ovi izveštaji mogu da doprinesu detaljnim dokumentima za posmatranje i, u nekim slučajevima, mogu da budu prosleđeni relevantnim institucijama kako bi se unapredili budući izbori."
about_app_citizen.p4,"Vətəndaş hesabatları şəffaflığın təşviqində mühüm rol oynasa da, nəzərə alın ki, bu proqram vasitəsilə hesabat təqdim etmək seçkilərin təşkilinə cavabdeh olan qurumlara rəsmi şikayət sayılmır.","Въпреки че докладите на гражданите играят важна роля за насърчаване на прозрачността, моля, имайте предвид, че подаването на доклад чрез това приложение не представлява официална жалба до институциите, отговорни за организирането на изборите.","While citizen reports play a vital role in promoting transparency, please note that submitting a report through this app does not constitute an official complaint to the institutions responsible for organizing elections.","Չնայած նրան, որ քաղաքացիների զեկույցները կարևոր դեր են խաղում թափանցիկությունը խթանելու գործում, այդուհանդերձ խնդրում ենք նկատի ունենալ, որ այս հավելվածի միջոցով զեկույց ներկայացնելը  չի համարվում պաշտոնական բողոք ընտրությունների կազմակերպման համար պատասխանատու հաստատություններին:","მიუხედავად იმისა, რომ მოქალაქეთა ანგარიშები გადამწყვეტ როლს თამაშობს გამჭვირვალობის ხელშეწყობაში, გთხოვთ, გაითვალისწინოთ, რომ ანგარიშის წარდგენა ამ აპლიკაციის საშუალებით არ წარმოადგენს ოფიციალურ საჩივარს არჩევნების ორგანიზებაზე პასუხისმგებელი ინსტიტუტების მიმართ.","Chociaż raporty obywatelskie odgrywają istotną rolę w promowaniu przejrzystości, należy pamiętać, że przesłanie raportu za pośrednictwem tej aplikacji nie stanowi oficjalnej skargi do instytucji odpowiedzialnych za organizację wyborów.","Deși sesizările de la cetățeni joacă un rol esențial în promovarea transparenței, te rugăm să reții că trimiterea unei sesizări prin această aplicație nu constituie o plângere oficială depusă la instituțiile responsabile pentru organizarea alegerilor.","Хотя сообщения граждан играют важную роль в обеспечении прозрачности, обратите внимание, что подача сообщения через это приложение не является официальной жалобой в органы, ответственные за организацию выборов.","Dok građanski izveštaji igraju ključnu ulogu u promovisanju transparentnosti, molim vas, obratite pažnju da podnošenje izveštaja kroz ovu aplikaciju ne predstavlja zvaničnu žalbu institucijama odgovornim za organizaciju izbora."
about_app_citizen.version,Vote Monitor versiyası {{value}},Версия на Vote Monitor {{stojnost}},Vote Monitor version {{value}},Vote Monitor տարբերակ  {{value}},Vote Monitor ვერსია {{value}},Wersja monitora głosowania {{value}},Vote Monitor versiunea {{value}},Версия Vote Monitor {{value}},Vote Monitor verzija {{value}}
loading_screen.heading,Yüklənir...,Зареждане...,Loading...,Բեռնվում է...,იტვირთება...,Ładowanie ...,Se încarcă...,Загружается...,Učitavanje...
loading_screen.paragraph,"Biz məlumatları hazırlayırıq, xahiş edirik gözləyin!","Подготвяме всички данни, моля изчакайте!","We are preparing all the data, please wait!",Մենք պատրաստում ենք բոլոր տվյալները: Խնդրում ենք սպասել:,"ჩვენ ვამზადებთ მონაცემებს, გთხოვ დაელოდოთ!","Przygotowujemy wszystkie dane, proszę czekać!","Pregătim toate datele, te rugăm să aștepți!","Данные подготавливаются, пожалуйста, подождите.","Pripremamo sve podatke, hvala na strpljenju!"
tabs.observation,Müşahidə,Наблюдение,Observation,Դիտարկել,დაკვირვება,Obserwacja,Observare,Наблюдение,Posmatranje
tabs.quick_report,Hesabat,Бърз доклад,Report,Զեկույց,ანგარიში,Szybki raport,Raportare,Отчет,Incident
tabs.guides,Bələdçilər,Упътвания,Guides,Ուղեցույցներ ,გზამკვლევები,Podręczniki,Ghiduri,Руководство,Priručnik
tabs.inbox,Gələnlər qutusu,Входяща кутия,Inbox,Փոստարկղ,ინბოქსი,Poczta,Mesaje,Инбокс,Poruke
tabs.more,Daha artıq,Още,More,Ավելին,მეტი,Więcej,Altele,Больше,Još opcija
add_polling_station.title,Seçki məntəqəsi əlavə et,Добавете изборна секция,Add polling station,Ավելացնել ընտրատեղամաս ,დაამატე საარჩევნო უბანი,Dodaj komisję wyborczą,Adaugă o secție de votare,Добавить избирательный участок,Dodajte biračko mesto
add_polling_station.progress.location,Seçki məntəqəsini {{value}}-dən əlavə et,Добавете изборна секция от избирателните райони {{value}},Add polling station from {{value}},Ավելացնել ընտրատեղամաս {{value}} -ից ,დაამატე საარჩევნო უბანი {{value}}დან,Dodaj komisję wyborczą z {{value}},Este adaugată secția de votare din {{value}},Добавить избирательный участок из {{value}},Dodajte biračko mesto iz {{value}}
add_polling_station.actions.next_step,Növbəti addım,Следваща стъпка,Next step,Հաջորդ քայլը ,შემდეგი ნაბიჯი,Dalej,Pasul următor,Следующий шаг,Sledeći korak
add_polling_station.actions.back,Geri,Назад,Back,Ետ ,უკან,Wróć,Înapoi,Назад,Nazad
add_polling_station.actions.finalize,Başa vurmaq,Финализиране,Finalize,Ավարտել ,დასრულება,Sfinalizuj,Finalizare,Завершение,Finalizuj
add_polling_station.error,Seçki məntəqələrinin yüklənməsi zamanı xəta,Грешка при зареждането на изборните секции!,Error while loading polling stations!,Չհաջողվեց բեռնել ընտրատեղամասերը,შეცდომა საარჩევნო უბნების ჩატვირთვისას,Błąd podczas ładowania lokali wyborczych!,Eroare la încărcarea secțiilor de votare!,Ошибка при загрузке избирательных участков,Greška pri učitavanju biračkih mesta!
observation.title,Seçki məntəqələrini müşahidə etmək,Наблюдение на изборни секции,Polling Station Observation,Դիտարկում ընտրատեղամասերում ,საარჩევნო უბნებზე დაკვირვება,Obserwacja punktów wyborczych,Observarea secției de votare,Наблюдения на избирательном участке,Posmatranje biračkog mesta
observation.no_election_round.heading,Hələ müşahidəyə ehtiyac duyan seçki tədbiri yoxdur,Все още не е за почнало наблюдението на изборите,No election event to observe yet,"Առայժմ չկա այնպիսի ընտրական իրադարձություն, որը դիտարկում է պահանջում ","ჯერ არ არის ისეთი, საარჩევნო ღონისძიება, რომელიც დაკვირვებას საჭიროებს",Brak zdarzeń dotyczących wyborów,Momentan nu ai niciun eveniment electoral de observat,"Пока нет избирательного события, требующего наблюдения.",Nema izbora za posmatranje.
observation.no_election_round.paragraph,Təşkilatınız sizi seçki tədbirinə əlavə etdikdən sonra aplikasiyadan istifadə edə biləcəksiniz,"Ще можете да използвате приложението, след като вашата организация Ви възложи участие в наблюдение на изборите.",You will be able to use the app once you will be assigned to an election event by your organization,Հավելվածից կարող եք օգտվել  ձեր կազմակերպության կողմից ընտրական միջոցառմանը ձեզ ամրագրելուց անմիջապես հետո  ,"თქვენ შეძლებთ აპლიკაციის გამოყენებას მას შემდეგ, რაც თქვენი ორგანიზაცია მიგამაგრებთ საარჩევნო ღონისძიებაზე ","Możesz używać tej aplikacji, gdy zostaniesz przypisany/a przez swoją organizację do wydarzenia wyborczego.",Vei putea folosi aplicația după ce organizația care te-a acreditat te alocă unui eveniment electoral.,"Вы сможете использовать приложение, как только ваша организация подключит вас к избирательным мероприятиям",Moći ćete da koristite aplikaciju kada budete dodeljeni izbornom događaju.
observation.no_visited_polling_stations.heading,Seçki məntəqələri hələ ziyarət edilməyib,Още няма посетени изборни секции,No visited polling stations yet, Այցելած ընտրատեղամասեր դեռևս չկան ,ჯერ არ არის მონახულებული საარჩევნო უბნები,Brak odwiedzonych komisji wyborczych,Momentan nu ai nicio secție de votare vizitată,Пока нет посещенных избирательных участков,Nema posećenih biračkih mesta
observation.no_visited_polling_stations.paragraph,Müşahidəçi formalarını doldurmazdan əvvəl ilk seçki məntəqəsini göstərin,"Започнете с информация за първата си изборна секция, преди да попълните формулярите за наблюдение.",Start configuring your first polling station before completing observation forms.,Դիտարկման ձևաթղթերը լրացնելուց առաջ նշեք առաջին ընտրատեղամասը,სადამკვირვებლო ფორმების შევსებამდე მიუთითეთ პირველი საარჩევნო უბანი,Uzupełnij dane dla pierwszej komisji wyborczej zanim zaczniesz wypełniać formularze obserwacyjne.,Înainte de a completa primul formular configurează o secție de votare.,До заполнения форм наблюдения укажите первый избирательный участок,Najpre konfigurišite svoje prvo biračko mesto pre popunjavanja izveštaja posmatranja.
observation.no_visited_polling_stations.add,İlk seçki məntəqənizi əlavə edin,Добавете първата изборна секция,Add your first polling station,Ավելացրեք ձեր առաջին ընտրատեղամասը,დაამატეთ თქვენი პირველი საარჩევნო უბანი,Dodaj pierwszą komisję wyborczą,Adaugă prima secție de votare,Добавьте свой первый избирательный участок,Dodajte biračko mesto
observation.my_polling_stations.heading,Mənim seçki məntəqələrim,Моите изборни секции,My polling stations,Իմ ընտրատեղամասերը,ჩემი საარჩევნო უბნები,Moje komisje wyborcze,Secțiile de votare vizitate,Мой избирательный участок,Moja biračka mesta
observation.my_polling_stations.paragraph,"Forma cavablarını və ya səsvermə məntəqəsi məlumatını yenidən görmək istəyirsinizsə, seçki məntəqələrini çevirə bilərsiniz.","Можете да се прехвърляте между изборните секции, ако искате да прегледате отново отговорите на формулярите или информацията за дадена секция.",You can switch between polling stations if you want to revisit form answers or polling station information.,"Դուք կարող եք փոխարկել ընտրատեղամասերը, եթե ցանկանում եք ևս մեկ անգամ  դիտել ձևաթղթի պատասխանները կամ ընտրատեղամասի տեղեկատվությունը:","თქვენ შეგიძლიათ გადართოთ საარჩევნო უბნები, თუ გსურთ ფორმის პასუხების ან საარჩევნო უბნის ინფორმაციის ხელახლა ნახვა.",Możesz zmienć komisję wyborczą jeśli chcesz dokonac rewizji formularza lub zmienić informacje dotyczące komisji wyborczej.,De aici poți schimba secția de votare dacă vrei să revezi sau să modifici răspunsurile formularelor completate.,"Вы сможете переключаться между избирательными участками, если захотите пересмотреть ответы в форме или информацию на определенном избирательном участке.",Možete se prebacivati između biračkih mesta ako želite ponovo da pregledate odgovore u izveštaju ili infomracije o biračkom mestu.
observation.my_polling_stations.add,Yeni seçki məntəqəsi əlavə edin.,Добавете нова изборна секция,Add new polling station,Ավելացրեք նոր ընտրատեղամաս ,დაამატეთ ახალი საარჩევნო უბანი,Dodaj komisję wyborczą,Adaugă o secție nouă de votare,Добавьте новый избирательный участок,Dodajte novo biračko mesto
observation.polling_stations_information.heading,Seçki məntəqəsi haqqında məlumat,Информация от изборни секции,Polling station information,Տեղեկություններ ընտրատեղամասի մասին,ინფორმაცია საარჩევნო უბანზე,Informacje o stacjach wyborczych,Informații despre secția de votare,Информация об избирательном участке,Informacije o biračkom mestu
observation.polling_stations_information.time_select.not_defined,Müəyyən edilməyib,Не е определено,Not defined,Սահմանված  չէ ,არ არის განსაზღვრული,Nie zdefiniowano,Nedefinită,Не определена,Nije definisano
observation.polling_stations_information.time_select.arrival_time,Giriş vaxtı,Време на пристигане,Arrival time,Մուտք գործելու ժամը ,მისვლის დრო,Czas przybycia,Ora sosirii,Время прибытия,Vreme dolaska
observation.polling_stations_information.time_select.departure_time,Çıxış vaxtı,Време на напускане,Departure time,Հեռանալու ժամը ,გასვლის დრო,Czas wyjścia,Ora plecării,Время отбытия,Vreme odlaska
observation.polling_stations_information.time_select.save,Yerinə yetirilib,Приключен,Done,Կատարված է,შესრულებულია,Zrobione,Finalizare,Выполнено,Završeno
observation.polling_stations_information.time_select.error.arrival_first,"Xahiş edirik, ilk əvvəl giriş vaxtını seçəsiniz","Моля, първо изберете час на пристигане.",Please select an arrival time first.,Խնդրում ենք նախ ընտրել ընտրատեղամաս մուտք գործելու ժամը ,"გთხოვთ, ჯერ აირჩიოთ მისვლის დრო",Najpierw wybierz godzinę przyjazdu.,Te rugăm să selectezi mai întâi ora sosirii.,"Пожалуйста, сначала выберите время прибытия",Molimo vas najpre izaberite vreme dolaska.
observation.polling_stations_information.time_select.error.later_departure,"Xahiş edirik, giriş vaxtından gec olan çıxış vaxtını seçəsiniz","Моля, изберете час на напускане, който е по-късен от този на пристигане.",Please select a departure time that is at a later time than the arrival.,"Խնդրում ենք ընտրել տեղամասից հեռանալու ժամը, որն ավելի ուշ է, քան մուտք գործելու ժամը","გთხოვთ, აირჩიოთ გასვლის დრო, რომელიც მისვლის დროზე გვიან არის",Proszę wybrać godzinę odjazdu późniejszą niż godzina przylotu.,Te rugăm să selectezi o oră de plecare ulterioară orei de sosire.,"Пожалуйста, выберите время отбытия, которое должно быть  позже, чем время прибытия.",Molimo vas izaberite vreme odlaska koje je posle vremena dolaska.
observation.polling_stations_information.time_select.error.earlier_arrival,"Xahiş edirik, çıxış vaxtından əvvəl olan giriş vaxtını seçəsiniz","Моля, изберете час на пристигане, който е по-ранен от този на напускане.",Please select an arrival time that is at an earlier time than the departure.,"Խնդրում ենք ընտրել ընտրատեղամաս մուտք գործելու ժամը, որն ավելի շուտ է, քան տեղամասից հեռանալու ժամը","გთხოვთ, აირჩიოთ მისვლის დრო, რომელიც გასვლის დროზე ადრე არის",Proszę wybrać godzinę przyjazdu wcześniejszą niż godzina odlotu.,Te rugăm să selectezi o oră de sosire anterioară orei de plecare.,"Пожалуйста, выберите время прибытия, которое должно быть раньше, чем время отбытия",Molimo vas izaberite vreme dolaska koje je pre vremena odlaska.
observation.polling_stations_information.time_select.error.server,Biz məlumatı serverə göndərə bilmədik,Не можахме да изпратим информацията до сървъра.,We couldn't send the information to the server.,Մենք չկարողացանք ուղարկել տեղեկատվությունը սերվեր,ჩვენ ვერ შევძელით ინფორმაციის სერვერზე გაგზავნა,Nie mogliśmy wysłać informacji na serwer.,Nu am putut trimite informațiile către server.,Мы не смогли отправить информацию на сервер,Nismo mogli da pošaljemo informacije serveru.
observation.polling_stations_information.observation_time.observation_time,Müşahidə vaxtı,Време на наблюдението,Observation time,Դիտարման ժամանակը ,დაკვირვების დრო,Czas obserwacji,Perioada de observare,Время наблюдения,Vreme za posmatranje.
observation.polling_stations_information.observation_time.not_defined,Müəyyən edilməyib,Не е определено,Not defined,Սահմանված չէ ,არ არის განსაზღვრული,Nie określono,Nedefinită,Не определено,Vreme za posmatranje.
observation.polling_stations_information.observation_time.no_of_breaks,{{value}} fasilə,{{стойност}} паузи,{{value}} breaks,{{value}} ընդմիջումներ ,{{value}} შესვენებები,{{value}} przerwy,{{value}} pauze,{{value}} перерывы,{{value}}  Pauza
observation.polling_stations_information.observation_time.one_break,{{value}} fasilə,{{стойност}} пауза,{{value}} break,{{value}} ընդմիջում,{{value}} შესვენება,{{value}} przerwa,{{value}} pauză,{{value}} перерыв,{{value}} Pauza
observation.polling_stations_information.observation_time.arrival_and_departure,Gəliş və gediş vaxtı,Време на пристигане и заминаване,Arrival and departure time,Մուտք գործելու և հեռանալու ժամը,მისვლისა და გასვლის დრო,Czas przyjazdu i odjazdu,Ora de sosire și plecare,Время прибытия и выхода,Vreme dolaska i odlaska
observation.polling_stations_information.observation_time.arrival_time,Gəliş vaxtı,Време на пристигане,Arrival time,Մուտք գործելու ժամը,მისვლის დრო,Czas przybycia,Ora sosirii,Время прибытия,Vreme dolaska
observation.polling_stations_information.observation_time.departure_time,Gediş vaxtı,Време на заминаване,Departure time,Հեռանալու ժամը ,გასვლის დრო,Czas odlotu,Ora plecării,Время выхода,Vreme za polazak.
observation.polling_stations_information.observation_time.departure_after_arrival,Gediş vaxtı gəliş vaxtından sonra olmalıdır,Времето на тръгване трябва да е след това на пристигане,The departure time must be after the arrival time,Հեռանալու ժամը պետք է լինի մուտք գործելու ժամից հետո ,გასვლის დრო უნდა იყოს მისვლის დროის შემდეგ,Godzina odlotu musi przypadać po godzinie przylotu,Ora plecării trebuie să fie după ora sosirii,Время выхода должно быть после времени прибытия,Vreme odlaska mora da je posle vremena dolaska.
observation.polling_stations_information.observation_time.select_arrival_time,Gəliş vaxtını seçin,Изберете време на пристигане,Select arrival time,Նշեք մուտք գործելու ժամը ,მიუთითეთ მისვლის დრო,Wybierz czas przybycia,Selectează ora sosirii,Выберите время прибытия,Izaberite vreme dolaska.
observation.polling_stations_information.observation_time.select_departure_time,Gediş vaxtını seçin,Изберете време на тръгване,Select departure time,Նշեք հեռանալու ժամը ,მიუთითეთ გასვლის დრო,Wybierz godzinę odlotu,Selectează ora plecării,Выберите время выхода,Izaberite vreme odlaska.
observation.polling_stations_information.observation_time.add_break,Müşahidəyə yeni fasilə əlavə edin,Добавете пауза в наблюдението,Add new break in observation,Դիտարկման գործընթացում ավելացրեք նոր ընդմիջում,დაამატეთ ახალი შესვენება დაკვირვების პროცესში,Dodaj nową przerwę w obserwacji,Adaugă o nouă pauză în observare,Добавить новый перерыв в наблюдении,Dodaj novu pauzu u posmatranju.
observation.polling_stations_information.observation_time.break,fasilə {{value}} ,Пауза {{стойност}},Break {{value}},Ընդմիջում {{value}},შესვენება {{value}},Przerwa {{value}},Pauza {{value}},Перерыв {{value}},Pauza {{value}} 
observation.polling_stations_information.observation_time.start_time,Başlama vaxtı,Начален час,Start time,Սկսեք ժամանակի հաշվարկը ,დროის ათვლის დაწყება,Czas rozpoczęcia,Ora de început,Время начала,Vreme je za početak.
observation.polling_stations_information.observation_time.select_start_time,Başlama vaxtını seçin,Изберете начален час,Select start time,Նշեք մեկնարկի ժամը,მიუთითეთ დაწყების დრო,Wybierz czas rozpoczęcia,Selectează ora de început,Выберите время начала,Odaberite vreme početka.
observation.polling_stations_information.observation_time.end_time,Bitmə vaxtı,Краен час,End time,Ավարտեք ժամանակի հաշվարկը ,დროის ათვლის დასრულება,Czas zakończenia,Ora de sfârșit,Время окончания,Kraj vremena.
observation.polling_stations_information.observation_time.select_end_time,Bitmə vaxtını seçin,Изберете краен час,Select end time,Նշեք ավարտի ժամը ,მიუთითეთ დასრულების დრო,Wybierz czas zakończenia,Selectează ora de sfârșit,Выберите время окончания,Izaberite krajnje vreme.
observation.polling_stations_information.observation_time.undefined_date,Gün/Ay/İl,ДД/ММ/ГГГГ,DD/MM/YYYY,Օր/ամիս/տարի ,დდ/თთ/წწ,DD/MM/RRRR,ZZ/LL/AAAA,ДД/ММ/ГГГГ,DD/MM/RRRR
observation.polling_stations_information.observation_time.undefined_time,HH:MM,ЧЧ:ММ,HH:MM,Ժամ:րոպե,სთ:წთ,GG:MM,HH:MM,ЧЧ:ММ,HH: Mm
observation.polling_stations_information.observation_time.save,Müşahidə vaxtına qənaət edin,Запазване на времето за наблюдение,Save observation time,Պահպանել դիտարկման ժամանակը ,შეინახეთ დაკვირვების დრო,Oszczędność czasu obserwacji,Salvează perioada de observare,Сохранить время наблюдения,Uštedi vreme za posmatranje.
observation.polling_stations_information.observation_time.clear,Müşahidə müddətini təmizləyin,Изчистване на времето за наблюдение,Clear observation time,Ջնջել դիտարկման ժամանակը ,წაშალეთ დაკვირვების დრო,Wyraźny czas obserwacji,Șterge perioada de observare,удалить время наблюдения,Vreme je za posmatranje.
observation.polling_stations_information.observation_time.confirmation_modals.clear.title,Müşahidə müddətini təmizləyin,Изчистване на времето за наблюдение,Clear observation time,Ջնջել դիտարկման ժամանակը,წაშალეთ დაკვირვების დრო,Wyraźny czas obserwacji,Șterge perioada de observare,удалить время наблюдения,Vreme je za posmatranje.
