Key,es
report_new_issue.form.incident_category.options.VotingWithImproperDocumentation,Votación con documentación inapropiada
report_new_issue.form.incident_category.options.IllegalRestrictionOfVotersRightToVote,Restricción ilegal del derecho al voto del votante
report_new_issue.form.incident_category.options.DamagingOrSeizingElectionMaterials,Daño o confiscación de materiales electorales
report_new_issue.form.incident_category.options.ImproperFilingOrHandlingOfElectionDocumentation,Manejo/improcedente archivo de la documentación electoral
report_new_issue.form.incident_category.options.BallotStuffing,Rellenado indebido de boletas
report_new_issue.form.incident_category.options.ViolationsRelatedToControlPaper,Violaciones relacionadas con el papel de control
report_new_issue.form.incident_category.options.NotCheckingVoterIdentificationSafeguardMeasures,No verificar las medidas de salvaguardia de la identificación del votante
report_new_issue.form.incident_category.options.VotingWithoutVoterIdentificationSafeguardMeasures,Votación sin medidas de salvaguardia de la identificación del votante
report_new_issue.form.incident_category.options.BreachOfSecrecyOfVote,Violación del secreto del voto
report_new_issue.form.incident_category.options.ViolationsRelatedToMobileBallotBox,Violaciones relacionadas con la urna móvil
report_new_issue.form.incident_category.options.NumberOfBallotsExceedsNumberOfVoters,El número de boletas excede el número de votantes
report_new_issue.form.incident_category.options.ImproperInvalidationOrValidationOfBallots,Invalidación/validación incorrecta de boletas
report_new_issue.form.incident_category.options.FalsificationOrImproperCorrectionOfFinalProtocol,Falsificación/corrección inapropiada del protocolo final
report_new_issue.form.incident_category.options.RefusalToIssueCopyOfFinalProtocolOrIssuingImproperCopy,Negativa a emitir una copia del protocolo final/emisión de una copia inapropiada
report_new_issue.form.incident_category.options.ImproperFillingInOfFinalProtocol,Rellenado inapropiado del protocolo final
report_new_issue.form.incident_category.options.ViolationOfSealingProceduresOfElectionMaterials,Violación de los procedimientos de sellado de los materiales electorales
report_new_issue.form.incident_category.options.ViolationsRelatedToVoterLists,Violaciones relacionadas con las listas de votantes
report_new_issue.form.incident_category.options.Other,Otro
report_new_issue.form.polling_station_details.label,Detalles de la estación de votación *
report_new_issue.form.polling_station_details.placeholder,"Por favor, escribe aquí algunos detalles de identificación para esta estación de votación (como dirección, nombre, número, etc.)"
report_new_issue.form.polling_station_details.required,Este campo es obligatorio.
report_new_issue.form.polling_station_details.max,La entrada no puede exceder {{value}} caracteres
report_new_issue.form.issue_title.label,Título del problema *
report_new_issue.form.issue_title.placeholder,Escribe un título para el problema.
report_new_issue.form.issue_title.required,El título del problema es obligatorio
report_new_issue.form.issue_title.max,La entrada no puede exceder {{value}} caracteres
report_new_issue.form.issue_description.label,Descripción *
report_new_issue.form.issue_description.placeholder,Describe la situación en detalle aquí.
report_new_issue.form.issue_description.required,La descripción del problema es obligatoria
report_new_issue.form.issue_description.max,La entrada no puede exceder {{value}} caracteres
report_new_issue.form.submit,Enviar problema
report_new_issue.form.clear,Limpiar
report_new_issue.form.loading,Procesando...
report_new_issue.form.error,Error al agregar el informe
report_details.title,
report_details.uploaded_media,Medios cargados
report_details.no_files,No se adjuntaron archivos
report_details.error,Error al cargar el informe
guides.title,Recursos
guides.empty.heading,Aún no hay guías para leer
guides.empty.paragraph,Guías y recursos de tu organización a tu disposición.
guides.list.heading,Guías
guides.list.guide.backup_title,Documento
guides.list.guide.created_on,Creado en
guides.options_sheet.manage_my_polling_stations,Gestionar mis estaciones de votación
guides.info_modal,"En esta sección, espera encontrar información clave y recursos diseñados para ayudarte a observar los procesos electorales y reportar cualquier problema o irregularidad electoral que encuentres como observador independiente."
resources.title,Recursos
resources.info,"En esta sección, espera encontrar información clave y recursos diseñados para ayudarte a observar los procesos electorales y reportar cualquier problema o irregularidad electoral que encuentres como ciudadano."
resources.empty.heading,Aún no hay guías para leer
resources.empty.paragraph,"Guías y recursos sobre cómo observar los procesos electorales y reportar problemas como ciudadano, a tu disposición."
resources.types.Document,Tipo de archivo: PDF
resources.types.Website,URL externa
resources.types.Text,Guía dentro de la app
inbox.title,Bandeja de entrada
inbox.empty.heading,Aún no se ha recibido ningún mensaje
inbox.empty.paragraph,Los mensajes push y alertas de tu organización aparecerán aquí.
inbox.banner,Mensajes de {{ngoName}}
inbox.today,Hoy
inbox.your_organization,tu organización
inbox.menu.manage_polling_stations,Gestionar mis estaciones de votación
inbox.info_modal.p1,"En esta bandeja de entrada, espera recibir actualizaciones en vivo y mensajes de la ONG que te acreditó como observador."
inbox.info_modal.p2,Revisa periódicamente para ver si has recibido nueva información relevante para tu actividad de observación.
updates.title,Actualizaciones
updates.empty.heading,Aún no se han recibido actualizaciones
updates.empty.paragraph,Aquí aparecerán las actualizaciones sobre el periodo electoral.
updates.info_modal.p1,"En esta sección, espera recibir actualizaciones en vivo del equipo de Vote Monitor sobre el periodo electoral, relevantes para ti como ciudadano interesado en el compromiso cívico."
updates.info_modal.p2,Revisa periódicamente para ver si has recibido nueva información.
more.title,Más
more.change-language,Cambiar idioma de la app
more.change-password,Cambiar contraseña
more.terms,Términos y condiciones
more.privacy_policy,Política de privacidad
more.about,Acerca de Vote Monitor
more.app_version,Versión de Vote Monitor {{value}}
more.support,Llamar a la línea de ayuda de la ONG
more.feedback,Ofrecer comentarios sobre la app
more.logout,Cerrar sesión
more.logged_in,Conectado como {{user}}
more.warning_modal.logout_offline.title,Atención: Tienes datos sin sincronizar
more.warning_modal.logout_offline.description,"Actualmente estás desconectado. Si cierras sesión ahora, cualquier formulario, archivo adjunto o nota que hayas completado o subido durante el modo fuera de línea se perderá.

Para evitar perder tus datos, por favor reconéctate a internet antes de cerrar sesión."
more.warning_modal.logout_offline.cancel,Cancelar
more.warning_modal.logout_offline.action,Cerrar sesión
more.warning_modal.logout_online.title,¿Estás seguro de que quieres cerrar sesión?
more.warning_modal.logout_online.cancel,Cancelar
more.warning_modal.logout_online.action,Cerrar sesión
more.feedback_toast.success,¡Comentarios enviados!
more.feedback_toast.offline,Necesitas una conexión a internet para realizar esta acción.
more.feedback_toast.error,¡Error al agregar comentarios!
more.feedback_toast.required,Este campo es obligatorio
more.feedback_sheet.heading,Envíanos tus comentarios
more.feedback_sheet.p1,"Por favor, cuéntanos sobre cualquier problema que hayas encontrado en el funcionamiento de la aplicación o cualquier sugerencia que tengas para mejorar Vote Monitor en el futuro. ¡Agradecemos todos los comentarios!"
more.feedback_sheet.placeholder,Escribe tus comentarios aquí...
more.feedback_sheet.cancel,Cancelar
more.feedback_sheet.action,Enviar
more.feedback_sheet.input.max,La entrada no puede exceder los {{value}} caracteres
more.options_sheet.manage_my_polling_stations,Gestionar mis estaciones de votación
change_password.title,Cambiar contraseña
change_password.form.current_password.label,Contraseña actual *
change_password.form.current_password.placeholder,Introduce la contraseña actual
change_password.form.current_password.required,La contraseña es obligatoria
change_password.form.current_password.credentials_error,La contraseña actual es incorrecta
change_password.form.new_password.label,Nueva contraseña *
change_password.form.new_password.placeholder,Introduce la nueva contraseña
change_password.form.new_password.helper,Debe tener al menos 8 caracteres
change_password.form.new_password.required,La nueva contraseña es obligatoria
change_password.form.confirm_password.label,Confirmar nueva contraseña *
change_password.form.confirm_password.placeholder,Confirmar contraseña
change_password.form.confirm_password.helper,Ambas contraseñas deben coincidir.
change_password.form.confirm_password.required,La nueva contraseña es obligatoria
change_password.form.confirm_password.no_match,Las contraseñas no coinciden
change_password.form.save,Guardar nueva contraseña
change_password.confirmation.heading,¡Contraseña cambiada!
change_password.confirmation.paragraph,Tu contraseña ha sido cambiada exitosamente.
change_password.confirmation.confirm,Volver a la aplicación
change_password.error.offline,La aplicación está desconectada y no puede realizar la solicitud
generic_error_screen.paragraph1,"¡Vaya, algo salió mal!"
generic_error_screen.paragraph2,"No pudimos recuperar de este error. Por favor, revisa tu conexión a internet y reinicia la aplicación."
generic_error_screen.retry,Reintentar
generic_error_screen.logout,Cerrar sesión
network_banner.online,Aplicación en línea. Todas las respuestas enviadas al servidor.
network_banner.offline,Modo fuera de línea. Guardando respuestas localmente.
network_banner.offline_citizen,Modo fuera de línea. Necesitas internet para enviar el formulario.
network_banner.more_details,Más detalles
network_banner.offline_warning,"Parece que actualmente estás fuera de línea. No te preocupes, tus respuestas están guardadas de manera segura localmente y se sincronizarán con nuestros servidores una vez que se restablezca tu conexión. Siéntete libre de continuar completando los formularios de observación y enviando informes rápidos."
network_banner.offline_warning_citizen,"Parece que actualmente estás fuera de línea. Para poder enviar el formulario, necesitas estar conectado a internet."
sync.sync_data,Sincronizando los datos almacenados sin conexión...
sync.warning,"Por favor, NO CIERRES la aplicación ni desconectes el internet o se perderán los datos."
sync.files,"Estamos subiendo tus archivos, esto puede tardar un poco..."
